"property_id","price"
"d56159653f5d2abc5ed5acd7",701302993.919688
"45550aa81c0151f1fd9fd8fe",759082786.21988
"735deef3382aa15930482f3e",490708886.944243
"0dd49fa8bb7be52b851c6dc9",677439677.616824
"7d3220a91e78f8bc2924d1cd",859386582.11211
"d3054072b2175deec2c1f8dc",551298353.080543
"b7574b06d593fca4eac59815",552425739.735889
"79e822115c5c1a4531366001",796606559.893528
"d3ed5316a463d38c1bd321d0",793108151.447896
"2f1880c9b8f7ac2715e1236d",666872787.313502
"dcca1c7f109175760ff531c6",832114365.653252
"dfc4f3facf91bbd93ee0fa4d",459475049.609088
"30e134a6cbe61d7954d0f56b",469788604.096455
"385fee7bd9ad7722d45dd034",604800460.731363
"87199c236bf22903d1aafdd0",604800460.731363
"19e19ad0cd6b5e84d8aa970e",509278186.930879
"907f968e78d748fde69dd44f",704667650.550311
"be094e5db0f784e3aa013aae",711927843.671209
"7ab96f83915bc84f8c03c1bd",556673707.259142
"07f4aa9b9ff5b0b05d31e6c0",730554194.431829
"e9be8cd37abed8ab510ba1f5",853922311.672425
"5f6ad58df27b562db077b5ce",665616647.75812
"ee96d947484aaace40f9b77f",784013055.34029
"15c4aef8401208054697b81e",961428931.86897
"22d6cb11333f2839b8112b89",916992546.246954
"288c09c33907dadbae495c11",892197399.998209
"f71d2bca0c5fe2720a1544c4",404847598.1444
"451744cf3ce55a98db8a3562",411474271.563972
"fba9ae05a6a8a9e0c6268a9f",443869853.588619
"1338e58f7dcebf5a1ea59388",472655116.703768
"a817e8da0ada143ac87277ee",342247542.740084
"46d8bb3e9a0ca584d3c7a317",466046006.005062
"b2506aa9463aebf01e1e00ca",526231187.407032
"7ec025b9b6e6f33bf65af41b",523048685.530873
"2ff531e27672ecd2362eed55",543851451.760348
"9b3cf0d1b91b9c6a2a887647",514936040.536921
"7db5291ce4602d9b2b266872",523060031.563851
"65d5918e826c33bb950fc008",593655633.464599
"395c34e4b8f52cbdb0522459",589065994.043573
"855f4b67d2bd6d18fd03d8e7",682715469.433281
"9ff06409b37e5b5dece4604a",621814121.324606
"0508cd7bd2c77ebb6fea1e56",538909396.333479
"b45fff2e718e54772d46a3fd",558439859.863944
"cf4d2297b73dbc357d21e31b",568682871.765367
"0ada7044c5b29925abc90879",573534621.116863
"6305f02255274ab5fb6bd39c",670614622.667341
"d9a94194ae1350512beff3e6",586867122.081167
"e3896296cb80d50d9ad3f903",684123745.365684
"6514f355887c64136edb5595",708760915.952347
"f03400cc18e12903b3ffbe5a",668761722.884318
"4e134600155a64783b3f8c3e",789096033.66828
"d63ebc63c82fbf66d8b6ffd3",679927701.766784
"1bd64811bd59706844230198",766222043.163294
"a83921284639eedd4a511cb6",644491451.330013
"a2f3f7a1cd573e2a33f52e2d",761562563.309217
"47344a66471fa51f61c64652",697407174.900823
"78fd849c9429091347d7e5c9",696982443.065235
"c3daf2abea55af99c9579319",676660005.101585
"52864916eb1984abca41ec66",847752946.148895
"c62494a9d7aede44f2f84023",772378097.383495
"a2b576643f7a032371587e5e",655616877.732147
"e53bc68f0e97ccead24f3e56",561807119.216832
"fd82c710aad91bc90af490fe",646829300.722993
"d436abc2ee37ba3dd561e940",848675794.425538
"216a598114a403676011cb51",523598295.78965
"ea230d5eccd2b687888173bb",750150977.566302
"18bd0dd7580f2a7cb19a90b9",411518009.481254
"b143c8ca6d334f6a73c3f2a0",379442397.94669
"ab388cb4fa511968783bafee",556673707.259142
"6a4f08cd04d558a56af732d9",788766654.085983
"7216c895aa047c4f405c4941",733806104.795936
"a493488dcd906dc74cf8a604",707983483.725104
"7844b0b2bc65dced90a355c6",588127947.801383
"c1976383069b6b82ab29d092",530075506.409847
"e5cfd99e2308b7b73581dbdc",573902211.995181
"c18c2ea88f4ac53970b53d2c",532468178.086851
"842c9f0e4edf1e5a672ce15e",716845823.027377
"7dd1e46dcbddc6bf5ef694de",458490154.888626
"6cc4f32b39180bd1ec7e117b",724407014.133808
"79e643789a85dc4ffad49a25",826858627.410021
"b3402a9173d289d6db78e09d",770146363.157558
"a446507813234e358db8b573",808659042.387764
"c8ef57ddfb35061d1876f94e",754790058.96341
"360be0df2c003005e3db080e",838394243.416685
"9ab245a4c91877cb7a8661ce",809479171.840268
"a57a34c7486e7a40e8deb316",744631057.969596
"ceba7d0f56f6cb03538962fb",576159110.029615
"d5475993f9db58c3e4baf7a3",858412821.701521
"d37a1dda09e30da13ff5bfc3",614638318.646186
"68a8b8d077a8232723bf37e9",665616647.75812
"e1eea7716ca6490b7640717a",666427951.305535
"4ae6d75b10848d259ecba576",588178112.388626
"17afbce5c0b56732abbea936",623055143.850151
"84a2673eccd3cf3bd7fd3eb0",847752946.148895
"f2f4e6cbafe527b155707f01",916992546.246954
"de2e3a592cda5b76c9573c5c",912333066.392877
"fac651cf404a58f24dc7d286",828280233.497995
"e6f312a0877af26b69855a3d",966263849.500199
"333a643c623a9bc75f3a40f2",864106374.750483
"64593641e470908ef23b46cb",745774968.333133
"ce9f2f0071be658ae75ca6f9",739392826.247014
"9ab385e399a4673732b6a799",731683132.69227
"3429c774b736cefc051e2c55",509383783.734468
"a51ad0372758b2bbfe73f8fd",617767587.34487
"8c801a266256e3fbabe7e3d2",657181576.367985
"ca2f81b8fb6fda20aefb0ccb",623280347.409881
"3c1b1f86087f9b99380e387c",694713010.406241
"b0cad5d612954b8cab18101c",885449572.972816
"7eb991f4c69215377e4dac8f",851958893.797574
"0d130b8bea4321300396fa34",874103137.167331
"8dfa059401e1dca80ae65ae1",763082968.16563
"3e3f264cd0ac7a65ed2349a2",744631057.969596
"112dce80bf512f3f24391d23",532468178.086851
"ff25ded6333278149f8fb68f",626373681.694062
"d555b82c192794e87e9d536f",718958090.807252
"a787382d96ef9fce8f27bc70",844646300.735745
"8c3aa295f7bcfd9a43eb2037",672760686.528718
"13ac95652fb3cf6c43dafc66",448612101.893863
"42fc6a80b882c32f6264ac10",371850192.044922
"1e9c53e09220d689a0210ab9",344134166.136428
"3348706086aa3db5c92259c3",584687996.094969
"66d402a9b7d05f29282ddb00",501735521.921491
"cf88be51d6f31c10e5868ff7",554897670.428008
"30b3f38716be209a894b0942",457694248.121932
"0a5908a92d0ba3e36f54b1f3",754575651.887537
"dd206b6ea2d7f6555109ea39",665485939.065645
"c641febd8bc2ece3e4d2d8b6",705510893.005226
"c11fdc02a288af0572a2bca1",809268986.125306
"35dc60a65969b264ab283d6d",718677904.983229
"d9cb0f637cd4feaaaf8a21c0",881235960.043197
"7e8dfae9a5f1faf8afa706f7",342413961.352376
"a280fe7610c254b935c9dcfc",404211744.637873
"85524880fdc4e4daf90e96fd",664455775.058997
"f361109d06f6609c16724b39",593655633.464599
"3f6b2f0c0876c21755369cb6",670614622.667341
"de26819064a290ce78d8fcc1",604932525.219639
"91be1260a84ab7fa3521c495",693323093.22973
"18c8dc4549d38c918af2972e",701473527.095308
"782b0fb8641849c2c34291e6",652298037.853091
"54933f8b33a4fd6f031ed5be",680560887.689315
"953176c9a901b4f61c030432",611757153.889451
"357e2add3d68167a4f3ce15e",704852143.097147
"90332d50e91925eb9b614bef",708765440.054409
"11723d1d472bf1a3fdd8b72c",895395936.12194
"01f8b6799e2910f7769db175",880161806.314304
"a0d5001f7dd42d7f0c91d2a9",686324881.885214
"d4439c35bcb88e1490916c67",753319436.454007
"4a73dad0ff8a5262e8b07c4b",837795589.697613
"3dd8085a65f24b497ea59557",921238831.276358
"39ef085809bc80e32e7b6af6",903666929.049996
"b98ee16e8fd7d1c75a9da13c",884126686.175535
"16deb26bf740fa61e258f545",798913190.338082
"732a3bd457d7798e1fd892f6",714857563.062444
"1376058cb128a1c7729cd2e9",757293855.351319
"cac7e7c3e13af91bdc7107e8",782072099.346424
"9f3dfa6e1422f6aeac527c61",724176130.936778
"4dd3d1288ccb66ee4fb9c097",648463286.406944
"15fb97d6a43731d61e95d004",694119172.338477
"dac29573163315edf99e0e7a",799617721.218233
"b93f2864087d41c3c92d43c3",836495312.674846
"cd4656aed92f5c0a0b6b7c0c",836495312.674846
"556210496090b42ac10cf1b8",655616877.732147
"762979729fb21e56a32ed14e",655616877.732147
"ea935b76abe664d5e2c4736f",593655633.464599
"40e9ef1e7c6749b7a8d04ea9",520046613.993594
"058265732a484ac8d5497f5c",540880020.673002
"6f52ea8340cdd283f9a79720",576268127.190762
"cafe7c1ee67458e05c84d5fb",670614622.667341
"3f45ed2f08a2b03b738fbb5e",785671223.67191
"f203b18854b75c4564d7a17d",627729190.644312
"d5333f639d11bc3ab073ed72",458822816.151532
"c14f644116669a160446a945",395020424.444697
"de585856ff546e00a5a4672e",438426884.874891
"7a80663cae7c191b5d025fa0",407321121.327947
"71f80198e68fbba902650b1a",385294934.675921
