"property_id","price"
"d56159653f5d2abc5ed5acd7",597824146.962771
"45550aa81c0151f1fd9fd8fe",623669801.205841
"735deef3382aa15930482f3e",417952673.466263
"0dd49fa8bb7be52b851c6dc9",613961885.531245
"7d3220a91e78f8bc2924d1cd",814378229.764285
"d3054072b2175deec2c1f8dc",581553019.401762
"b7574b06d593fca4eac59815",582668302.50063
"79e822115c5c1a4531366001",746052498.540322
"d3ed5316a463d38c1bd321d0",712558811.601784
"2f1880c9b8f7ac2715e1236d",620879645.36168
"dcca1c7f109175760ff531c6",878832727.182562
"dfc4f3facf91bbd93ee0fa4d",479824060.128348
"30e134a6cbe61d7954d0f56b",487380388.285552
"385fee7bd9ad7722d45dd034",559971910.116538
"87199c236bf22903d1aafdd0",559963003.389376
"19e19ad0cd6b5e84d8aa970e",536699352.076627
"907f968e78d748fde69dd44f",642356399.442658
"be094e5db0f784e3aa013aae",718232386.071362
"7ab96f83915bc84f8c03c1bd",588268569.45998
"07f4aa9b9ff5b0b05d31e6c0",707216431.094225
"e9be8cd37abed8ab510ba1f5",783677881.048241
"5f6ad58df27b562db077b5ce",674397179.253198
"ee96d947484aaace40f9b77f",720322876.185608
"15c4aef8401208054697b81e",1050914199.81499
"22d6cb11333f2839b8112b89",894032317.07545
"288c09c33907dadbae495c11",920581636.462383
"f71d2bca0c5fe2720a1544c4",384751535.71042
"451744cf3ce55a98db8a3562",400950989.265356
"fba9ae05a6a8a9e0c6268a9f",411599909.840764
"1338e58f7dcebf5a1ea59388",462090088.24667
"a817e8da0ada143ac87277ee",401786430.571619
"46d8bb3e9a0ca584d3c7a317",490517723.972697
"b2506aa9463aebf01e1e00ca",539484952.771112
"7ec025b9b6e6f33bf65af41b",530052081.423693
"2ff531e27672ecd2362eed55",441146045.784374
"9b3cf0d1b91b9c6a2a887647",481447360.225265
"7db5291ce4602d9b2b266872",493157378.692244
"65d5918e826c33bb950fc008",562664863.521793
"395c34e4b8f52cbdb0522459",561212899.631241
"855f4b67d2bd6d18fd03d8e7",687776423.155173
"9ff06409b37e5b5dece4604a",617852825.04431
"0508cd7bd2c77ebb6fea1e56",591731555.822761
"b45fff2e718e54772d46a3fd",520189280.031975
"cf4d2297b73dbc357d21e31b",621455174.540413
"0ada7044c5b29925abc90879",561816545.932796
"6305f02255274ab5fb6bd39c",649413199.665846
"d9a94194ae1350512beff3e6",658475565.417319
"e3896296cb80d50d9ad3f903",643707618.634573
"6514f355887c64136edb5595",736844794.637585
"f03400cc18e12903b3ffbe5a",590435474.312729
"4e134600155a64783b3f8c3e",705492644.388471
"d63ebc63c82fbf66d8b6ffd3",613189166.526506
"1bd64811bd59706844230198",699426452.806821
"a83921284639eedd4a511cb6",686634802.879621
"a2f3f7a1cd573e2a33f52e2d",734443463.200279
"47344a66471fa51f61c64652",682396636.520964
"78fd849c9429091347d7e5c9",659033087.411042
"c3daf2abea55af99c9579319",646418921.275181
"52864916eb1984abca41ec66",853821046.873914
"c62494a9d7aede44f2f84023",750899844.608745
"a2b576643f7a032371587e5e",879057017.019765
"e53bc68f0e97ccead24f3e56",496860780.665525
"fd82c710aad91bc90af490fe",580812577.157436
"d436abc2ee37ba3dd561e940",883246471.076851
"216a598114a403676011cb51",423325940.699233
"ea230d5eccd2b687888173bb",605232843.221901
"18bd0dd7580f2a7cb19a90b9",403110763.61262
"b143c8ca6d334f6a73c3f2a0",347155520.148082
"ab388cb4fa511968783bafee",589176530.060862
"6a4f08cd04d558a56af732d9",711545270.3457
"7216c895aa047c4f405c4941",679144357.324551
"a493488dcd906dc74cf8a604",610910152.141394
"7844b0b2bc65dced90a355c6",579875181.558062
"c1976383069b6b82ab29d092",507622835.101644
"e5cfd99e2308b7b73581dbdc",548558977.565959
"c18c2ea88f4ac53970b53d2c",588260525.386033
"842c9f0e4edf1e5a672ce15e",662116624.590737
"7dd1e46dcbddc6bf5ef694de",429695937.92572
"6cc4f32b39180bd1ec7e117b",644421480.339348
"79e643789a85dc4ffad49a25",828918952.32375
"b3402a9173d289d6db78e09d",689802225.380826
"a446507813234e358db8b573",812498119.431777
"c8ef57ddfb35061d1876f94e",793235660.421157
"360be0df2c003005e3db080e",832481000.0778
"9ab245a4c91877cb7a8661ce",783672395.835274
"a57a34c7486e7a40e8deb316",725467274.42534
"ceba7d0f56f6cb03538962fb",686841943.988988
"d5475993f9db58c3e4baf7a3",768027333.09397
"d37a1dda09e30da13ff5bfc3",623568633.263429
"68a8b8d077a8232723bf37e9",674397179.253198
"e1eea7716ca6490b7640717a",699767351.951391
"4ae6d75b10848d259ecba576",655099268.36894
"17afbce5c0b56732abbea936",580019995.324175
"84a2673eccd3cf3bd7fd3eb0",853821046.873914
"f2f4e6cbafe527b155707f01",894214412.269694
"de2e3a592cda5b76c9573c5c",928908601.179756
"fac651cf404a58f24dc7d286",852972440.281551
"e6f312a0877af26b69855a3d",913876082.579465
"333a643c623a9bc75f3a40f2",827477498.054911
"64593641e470908ef23b46cb",894226610.767555
"ce9f2f0071be658ae75ca6f9",973693816.563231
